관리번호,구분명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,설치연월,설치상세장소,구조용품명,담당부서명,담당부서전화번호,데이터기준일자,제공기관코드,제공기관명
광교저수지 제방 중,인명구조함,경기도,수원시,,경기도 수원시 장안구 하광교동 351,37.322600,127.011700,2016-01,광교저수지 수변,모터보트 1대,경기도 수원시 맑은물생산과,031-5191-1714,2026-03-20,3740000,경기도 수원시
광교저수지 제방 중,인명구조함,경기도,수원시,,경기도 수원시 장안구 하광교동 351,37.322600,127.011700,2021-01,광교저수지 수변,고무보트 1대,경기도 수원시 맑은물생산과,031-5191-1714,2026-03-20,3740000,경기도 수원시
25,위험표지판,충청남도,천안시,충청남도 천안시 동남구 광덕면 성산1길 23,충청남도 천안시 동남구 광덕면 대덕리 420,36.695246,127.101582,2017-03,원가든 일원 하천길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
24,위험표지판,충청남도,천안시,충청남도 천안시 동남구 광덕면 성산1길 23,충청남도 천안시 동남구 광덕면 대덕리 420-9,36.697769,127.092931,2016-11,원가든 일원 하천길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
23,위험표지판,충청남도,천안시,충청남도 천안시 동남구 광덕면 성산1길 23,충청남도 천안시 동남구 광덕면 대덕리 116-5,36.697669,127.096066,2016-11,원가든 일원 하천길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
22,위험표지판,충청남도,천안시,충청남도 천안시 동남구 광덕면 성산1길 23,충청남도 천안시 동남구 광덕면 대덕리 420-9,36.697769,127.092931,2023-04,원가든 일원 하천길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
21,인명구조함,충청남도,천안시,충청남도 천안시 동남구 북면 용암6길 54,충청남도 천안시 동남구 북면 용암리 197-1,36.800689,127.270261,2022-06,용암리 한솔교 일원,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
20,인명구조함,충청남도,천안시,충청남도 천안시 동남구 북면 위례성로 778,충청남도 천안시 동남구 북면 오곡리 411-1,36.831121,127.271731,2022-06,솔솔바람펜션 우측 오솔길,인명구조함 및 구명조끼+구명환+구명로프,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
19,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 오곡2길 28,충청남도 천안시 동남구 북면 오곡리 430,36.824674,127.275595,2021-08,북면 오곡리 야영장 일원,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
18,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 오곡2길 28,충청남도 천안시 동남구 북면 오곡리 430,36.824674,127.275595,2021-08,북면 오곡리 야영장 일원,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
17,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 오곡2길 28,충청남도 천안시 동남구 북면 오곡리 430,36.824674,127.275595,2021-08,북면 오곡리 야영장 일원,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
16,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 오곡2길 28,충청남도 천안시 동남구 북면 오곡리 430,36.824674,127.275595,2020-05,북면 오곡리 야영장 일원,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
15,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 오곡2길 28,충청남도 천안시 동남구 북면 오곡리 430,36.824674,127.275595,2021-08,솔솔바람펜션 오솔길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
14,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 오곡2길 28,충청남도 천안시 동남구 북면 오곡리 430,36.824674,127.275595,2023-04,솔솔바람펜션 오솔길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
13,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 오곡2길 28,충청남도 천안시 동남구 북면 오곡리 430,36.824674,127.275595,2023-04,솔솔바람펜션 오솔길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
12,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 오곡2길 28,충청남도 천안시 동남구 북면 오곡리 430,36.824674,127.275595,2023-04,솔솔바람펜션 오솔길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
11,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 오곡2길 28,충청남도 천안시 동남구 북면 오곡리 430,36.824674,127.275595,2023-04,삼거리 일원,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
10,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 위례성로 626,충청남도 천안시 동남구 북면 명덕리 68,36.819203,127.275436,2024-05,하천 내리막길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
9,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 위례성로 626,충청남도 천안시 동남구 북면 명덕리 68,36.819203,127.275436,2024-05,하천 내리막길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
8,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 위례성로 626,충청남도 천안시 동남구 북면 명덕리 68,36.819203,127.275436,2024-05,하천 내리막길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
7,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 위례성로 516,충청남도 천안시 동남구 북면 매송리 839,36.809321,127.274806,2024-05,은석교 버스정류장 맞은편,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
6,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 위례성로 204,충청남도 천안시 동남구 북면 용암리 341,36.787681,127.259852,2024-07,은석교 버스정류장 맞은편,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
5,위험표지판,충청남도,천안시,충청남도 천안시 동남구 광덕면 보산원로 14,충청남도 천안시 동남구 광덕면 보산원리 687-26,36.687615,127.078305,2017-03,풍서천 하천길,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
4,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 용암 6길 14,충청남도 천안시 동남구 북면 용암리 197-1,36.800689,127.270261,2020-05,용암리 한솔교 일원,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
3,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 오곡2길 28,충청남도 천안시 동남구 북면 오곡리 430,36.824674,127.275595,2020-05,북면 오곡리 야영장 일원,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
2,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 오곡2길 28,충청남도 천안시 동남구 북면 오곡리 430,36.824674,127.275595,2020-05,북면 오곡리 야영장 일원,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
1,위험표지판,충청남도,천안시,충청남도 천안시 동남구 북면 오곡2길 28,충청남도 천안시 동남구 북면 오곡리 430,36.824674,127.275595,2020-05,북면 오곡리 야영장 일원,위험표지판,안전총괄과,041-521-5586,2026-01-12,4490000,충청남도 천안시
